                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.89751,                0.83305,                 1.2451,                0.91341,                0.76259,                0.87731,                 0.6454,                 1.1137,                0.75099,                 1.3548,               0.001981,               0.001981,               0.001981
                     83,                0.89218,                0.81635,                 1.2443,                0.91295,                0.76397,                0.87427,                0.64593,                 1.1165,                0.75211,                 1.3575,               0.001882,               0.001882,               0.001882
                     84,                 0.8913,                0.82728,                 1.2399,                0.89529,                0.76338,                0.87816,                0.64058,                 1.1176,                0.76063,                 1.3554,               0.001783,               0.001783,               0.001783
                     85,                0.88764,                 0.8059,                 1.2328,                0.91217,                0.74971,                0.87383,                  0.644,                 1.1176,                0.75896,                 1.3536,               0.001684,               0.001684,               0.001684
                     86,                 0.8728,                0.79269,                 1.2349,                0.81615,                0.80955,                0.88453,                0.64332,                 1.1186,                0.75952,                 1.3558,               0.001585,               0.001585,               0.001585
                     87,                0.87798,                0.79914,                 1.2293,                0.90076,                0.77293,                0.87758,                0.64453,                 1.1181,                0.76213,                 1.3556,               0.001486,               0.001486,               0.001486
                     88,                0.86763,                 0.7755,                 1.2245,                0.88807,                 0.7776,                0.87241,                0.64333,                 1.1175,                0.75944,                 1.3544,               0.001387,               0.001387,               0.001387
                     89,                0.86119,                 0.7682,                 1.2179,                0.84913,                0.79155,                0.87432,                0.64207,                 1.1169,                0.75994,                 1.3544,               0.001288,               0.001288,               0.001288
                     90,                0.82723,                0.64095,                 1.2257,                0.82484,                 0.8071,                0.87445,                 0.6435,                 1.1181,                0.76357,                 1.3555,               0.001189,               0.001189,               0.001189
                     91,                0.81066,                0.60556,                 1.2096,                0.81612,                  0.806,                0.87459,                0.64302,                 1.1175,                0.75567,                  1.357,                0.00109,                0.00109,                0.00109
                     92,                0.80048,                0.59879,                 1.2035,                0.82384,                0.80507,                0.87333,                0.64301,                 1.1182,                0.75097,                 1.3579,               0.000991,               0.000991,               0.000991
                     93,                0.79187,                0.58727,                 1.1953,                0.82235,                0.80674,                0.87515,                0.64895,                 1.1178,                0.74761,                 1.3625,               0.000892,               0.000892,               0.000892
                     94,                 0.7795,                0.56854,                 1.1845,                0.80236,                0.82591,                0.88225,                 0.6555,                 1.1171,                0.74341,                 1.3603,               0.000793,               0.000793,               0.000793
                     95,                0.77587,                  0.567,                 1.1796,                0.80365,                0.82936,                0.87485,                0.65163,                 1.1164,                0.74395,                 1.3608,               0.000694,               0.000694,               0.000694
                     96,                0.76385,                0.55623,                 1.1757,                0.78985,                0.83466,                0.87269,                 0.6508,                 1.1202,                0.74235,                 1.3656,               0.000595,               0.000595,               0.000595
                     97,                0.75868,                0.54145,                 1.1681,                0.78019,                0.83905,                0.87613,                0.65452,                 1.1199,                0.73832,                 1.3663,               0.000496,               0.000496,               0.000496
                     98,                0.74862,                0.53799,                 1.1643,                0.77863,                0.84316,                0.87684,                0.65416,                 1.1225,                0.73927,                  1.369,               0.000397,               0.000397,               0.000397
                     99,                 0.7396,                0.52543,                 1.1526,                 0.7682,                0.84634,                0.87688,                0.65219,                 1.1259,                0.74203,                 1.3724,               0.000298,               0.000298,               0.000298
