NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
509,테이팩스,59100,하락1400,-2.31%,500,2788,4718,3.57,11884,14.73,13.56
510,케이씨,20550,하락500,-2.38%,500,2785,13554,7.82,5440,2.80,14.47
511,대한방직,52400,하락300,-0.57%,1000,2777,5300,0.59,74,-53.09,-3.81
512,유니퀘스트,10120,하락240,-2.32%,500,2768,27356,52.65,23388,5.63,15.17
513,대상홀딩스,7630,상승20,+0.26%,1000,2763,36213,4.76,3534,8.79,4.47
514,그린케미칼,11470,하락270,-2.30%,500,2753,24000,0.93,167130,95.58,2.34
515,AK홀딩스,20650,하락650,-3.05%,5000,2736,13248,4.65,18022,-4.50,-10.60
516,대동,11430,하락10,-0.09%,1000,2735,23932,4.12,62627,7.32,11.11
517,신세계 I&C,15900,하락450,-2.75%,500,2735,17200,3.44,44030,3.26,N/A
518,대한제당,3045,하락15,-0.49%,500,2731,89697,2.84,243535,11.45,4.87
519,NPC,7420,하락80,-1.07%,500,2725,36720,2.43,80682,11.07,8.44
520,코오롱,21500,하락150,-0.69%,5000,2715,12626,9.86,4991,2.15,15.38
521,하나제약,15160,하락140,-0.92%,500,2694,17773,0.33,9361,11.08,9.34
522,아주스틸,10110,하락190,-1.84%,500,2674,26452,20.74,10434,198.24,0.56
523,HLB글로벌,6310,하락90,-1.41%,500,2673,42367,5.32,59422,-23.11,-13.45
524,성신양회,10780,하락270,-2.44%,5000,2643,24516,6.12,156479,-10.25,-6.56
525,코오롱모빌리티그룹,4205,하락40,-0.94%,500,2640,62777,0.87,94443,N/A,N/A
526,현대지에프홀딩스,4120,하락25,-0.60%,500,2630,63824,10.60,36047,7.20,3.06
527,광주신세계,32700,상승200,+0.62%,1000,2616,8000,9.28,1275,4.59,7.42
528,동양,1091,하락3,-0.27%,500,2604,238684,5.21,20144,-60.61,-0.56
529,종근당홀딩스,51700,상승100,+0.19%,2500,2590,5010,5.39,370,241.59,0.20
530,KBSTAR 단기종합채권(AA-이상)액티브,103955,상승10,+0.01%,0,2584,2486,0.00,83,N/A,N/A
531,대원강업,4100,하락80,-1.91%,500,2542,62000,2.75,80753,13.49,3.99
532,스틱인베스트먼트,6090,하락20,-0.33%,500,2538,41678,5.08,23354,16.03,N/A
533,SOL 종합채권(AA-이상)액티브,102145,하락5,0.00%,0,2534,2481,0.00,1,N/A,N/A
534,KBSTAR 미국나스닥100,12880,상승50,+0.39%,0,2524,19600,0.01,28465,N/A,N/A
535,일진홀딩스,5090,하락10,-0.20%,1000,2512,49347,5.37,111982,13.65,4.34
536,SNT홀딩스,15400,상승20,+0.13%,500,2511,16304,9.53,4162,4.88,5.31
537,KBSTAR 미국S&P500,12050,상승35,+0.29%,0,2506,20800,0.00,23822,N/A,N/A
538,삼영무역,13510,하락10,-0.07%,500,2495,18467,17.79,3107,4.63,12.23
539,자이에스앤디,6430,하락30,-0.46%,1000,2494,38783,1.32,21032,3.20,24.11
540,유진투자증권,2560,0,0.00%,5000,2480,96866,6.07,48629,15.80,1.62
541,대한제분,146000,하락600,-0.41%,5000,2467,1690,9.10,36,5.99,4.58
542,한국금융지주우,42100,하락200,-0.47%,5000,2466,5858,15.25,885,4.07,N/A
543,사조대림,26700,하락900,-3.26%,5000,2447,9164,4.61,12114,3.44,15.48
544,대성에너지,8810,0,0.00%,1000,2423,27500,0.80,14629,-326.30,-0.24
545,태경비케이,8750,하락530,-5.71%,500,2414,27583,2.97,1186486,10.29,14.24
546,디아이,8520,상승140,+1.67%,500,2411,28300,8.16,249641,18.28,9.97
547,현대코퍼레이션,18210,상승90,+0.50%,5000,2409,13229,7.17,28897,3.06,19.83
548,무림P&P,3860,하락25,-0.64%,2500,2407,62368,2.35,22724,5.35,7.11
549,KBSTAR 코스피,26715,하락25,-0.09%,0,2404,9000,0.04,12,N/A,N/A
550,STX,8390,상승920,+12.32%,2500,2401,28621,0.81,8023593,-17.70,-23.17
551,동화약품,8540,하락30,-0.35%,1000,2385,27931,3.32,11471,11.70,5.73
552,GS글로벌,2885,하락25,-0.86%,2500,2381,82534,4.03,536493,3.39,19.28
553,TIGER 리츠부동산인프라,4570,하락5,-0.11%,0,2372,51900,0.00,31850,N/A,N/A
554,KPX케미칼,48950,0,0.00%,5000,2369,4840,28.33,144,8.28,4.97
555,금호건설,6390,하락80,-1.24%,5000,2361,36954,5.72,9750,11.21,3.54
556,JW홀딩스,3255,하락15,-0.46%,500,2360,72508,1.68,1685,10.64,22.13
557,만호제강,56500,0,0.00%,1000,2345,4150,2.97,2523,50.27,2.75
558,에이블씨엔씨,8670,하락190,-2.14%,500,2344,27033,10.50,23371,247.71,0.82
559,KBSTAR KIS국고채30년Enhanced,72425,하락345,-0.47%,0,2339,3230,0.80,14835,N/A,N/A
560,삼부토건,1180,상승2,+0.17%,1000,2333,197673,4.53,366775,-2.92,-35.88
561,TIGER 중장기국채,49075,하락65,-0.13%,0,2316,4720,0.06,327,N/A,N/A
562,미원홀딩스,99800,하락200,-0.20%,500,2315,2320,0.21,77,11.47,9.54
563,AJ네트웍스,4930,하락55,-1.10%,1000,2308,46822,3.68,13004,25.68,2.49
564,TIGER 차이나CSI300,10350,0,0.00%,0,2308,22300,1.64,3336,N/A,N/A
565,교촌에프앤비,9220,하락30,-0.32%,500,2303,24983,0.40,3509,43.08,2.98
566,동성케미컬,4625,하락15,-0.32%,1000,2298,49690,2.99,4172,6.56,9.69
567,삼성출판사,22950,하락150,-0.65%,500,2295,10000,0.67,6896,13.96,9.48
568,현대차3우B,95100,0,0.00%,5000,2287,2404,18.94,2235,3.58,N/A
569,에이프로젠바이오로직스,390,하락2,-0.51%,500,2284,585755,1.74,418024,20.53,1.69
570,한신기계,7030,상승120,+1.74%,500,2281,32446,4.83,640714,-48.15,-5.30
571,대덕,6720,하락20,-0.30%,500,2277,33890,7.34,10182,12.24,3.21
572,KBSTAR ESG사회책임투자,10620,하락60,-0.56%,0,2273,21400,0.00,3027,N/A,N/A
573,KPX홀딩스,53500,상승100,+0.19%,5000,2260,4225,31.10,102,25.36,1.08
574,퍼스텍,4660,상승930,+24.93%,500,2240,48061,3.09,18167263,125.95,3.59
